CSDS_FLAG,CS_COLUMN_NAME,CARRIER_COLUMN_NAME,DEFAULT,SPECIAL_RULES,NOTE
0,CARRIER_STATUS_MAP,,,,
0,CARRIER_FAMILY_ID,,"66,175,206",,
0,PARENT_CARRIER_ID,,,,
0,IS_PAID,,1,,
0,BUSINESS_LINE,,2,,
0,APPLICATION_ID,,,,
0,MEMBER_NUMBER,,1,"When BUSINESS_LINE=2, MEMBER_NUMBER=1 is the default.",
0,POLICY_ID,,,,
0,CARRIER_ID,,,,
0,PLAN_ID,,,,
0,RIDER_ID,,,,
0,CATEGORY_CLASS_ID,,1,,
0,REQUESTED_EFFECTIVE_DATE,,,,
0,STATUS_CODE,,,,
1,PRODUCT_LINE,Product,,"if 'PDP' map to MD
if ‘HAP’, ' HUM', ‘HV’, or ‘RD’ map to MS
all others is MA/MAPD. ",
0,REVENUE_IMPACT_DATE,,,,
0,POLICY_NUMBER,,,,
0,MONTHLY_PREMIUM,,,,
0,RATE_TIER,,,,
0,NOT_CANCELLED,,,,
0,IS_DELINQUENT,,,,
0,DELINQUENCY_NOTE,,,,
0,MEMBER_COUNT,,,,
0,CARRIER_EFFECTIVE_DATE,,,,
1,EFFECTIVE_START_DATE,Eff_Date,,,
1,CANCELLATION_DATE,Term_Date,,,
0,IS_ACTIVE,,,,
0,IS_REVERSED,,,,
0,IS_MASTER_POLICY,,,,
0,HEALTH_RATE_FACTOR,,,,
0,HOUSEHOLE_DISCOUNT,,,,
0,PREMIUM_EFFECTIVE_DATE,,,,
0,FUTURE_RATE_CHANGE_DATE,,,,
0,FUTURE_PREMIUM,,,,
0,FREQUENCY_TO_DEBIT,,,,
0,CARRIER_PAID_THRU_DATE,,,,
0,ADDRESS_TYPE,,HOME,,
1,ADDRESS_LINE_1,Address1,,,
0,ADDRESS_LINE_2,,,,
0,ADDRESS_LINE_3,,,,
1,CITY,City,,,
1,STATE,State,,,
1,ZIP_CODE,Zip,,,
0,COUNTY,,,,
1,FIRST_NAME,Member,,"Member format: last_name, first_name",
0,MIDDLE_NAME,,,,
1,LAST_NAME,Member,,"Member format: last_name, first_name",
0,GENDER,,,,
1,BIRTH_DATE,DOB,,,
0,SSN,,,,
0,EMAIL,,,,
1,MEDICARE_ID,MEDICARE_ID,,,
0,CARRIER_CONFIRMATION_NUMBER,,,,
0,PHONE_TYPE,,HOME,,
0,AREA_CODE,,,"Remove Special Char: `~!@#$%^&*()_-+={[}]|\:;'""<,>.?/    
Pull LEFT 3 digits.","Ex1. 123-456-7890 becomes 123; 
Ex2. (123) 456-7890 becomes 123"
0,PHONE_NUMBER,,,"Remove Special Char: `~!@#$%^&*()_-+={[}]|\:;'""<,>.?/    
Remove LEFT 3 digits.    
Add ""-"" into string between digits 3 and 4.","Ex1. 123-456-7890 becomes 4567890;   
Ex2. 1234567890 becomes 4567890;   
Ex3. (123)456-7890 becomes 4567890"
0,PHONE_EXTENSION,,,,
0,STATUS_NOTE,,,,
0,CATEGORY,,,,
0,SUBSCRIBER_COUNT,,,,
0,GROUP_NAME,,,,
0,GROUP_ID,,,,
0,RAF,,,,
0,CARRIER_APPLICATION_ID,,,,
0,CARRIER_POLICY_ID,,,,
0,RECORD_TYPE,,,,
0,CREATION_DATE,,,,
0,SUBMIT_DATE,,,,
0,SIGNITURE_DATE,,,,
0,SEP_REASON_CODE,,,,
0,EXTRA_HELP,,,,
0,EXTRA_HELP_LEVEL,,,,
0,CARRIER_NAME,,,,
0,PLAN_NAME,,,,
1,CMS_CONTRACT_ID,Plan_Name,,"for MA/MAPD, PDP, this contains combination of  CMS_Contract_ID and CMS_PLan_CODE separated by '-'

please note it appears MS lines does not list a CMS_Contract_ID and CMS_Plan_code value on source data. examples provided in sample file.",
1,CMS_PLAN_ID,Plan_Name,,,
0,CMS_SEGMENT_ID,,,,
0,RENEWAL_DATE,,,,
0,RENEWAL_TYPE,,,,
0,INITIAL_PAYMENT_MODE,,,,
0,CMS_DISENROLLMENT_CODE,,,,
0,STATUS_DATE,,,,
0,PLAN_CHANGE_NOTE,,,,
0,CMS_CARRIER_POST_TERM,,,,
0,CMS_CONTRACT_ID_POST_TERM,,,,
0,CMS_PLAN_ID_POST_TERM,,,,
0,CMS_SEGMENT_ID_POST_TERM,,,,
0,BROKER_OF_RECORD,,,,
1,AGENCY_NAME,AOR_Name,,,
1,AGENCY_ID,AOR_SAN,,,
1,AGENT_NAME,Agent,,,
1,AGENT_ID,SAN,,,
